source,target,weight,x,u,tau_F,tau_D
1,272,76.69151843034209,1.0,0.19,1500.0,200.0
1,5128,17.04255965118713,1.0,0.19,1500.0,200.0
1,88,76.69151843034209,1.0,0.19,1500.0,200.0
1,6408,17.04255965118713,1.0,0.19,1500.0,200.0
1,312,76.69151843034209,1.0,0.19,1500.0,200.0
1,6120,17.04255965118713,1.0,0.19,1500.0,200.0
1,2512,17.04255965118713,1.0,0.19,1500.0,200.0
1,4632,17.04255965118713,1.0,0.19,1500.0,200.0
1,4312,17.04255965118713,1.0,0.19,1500.0,200.0
1,4272,17.04255965118713,1.0,0.19,1500.0,200.0
1,1320,17.04255965118713,1.0,0.19,1500.0,200.0
1,7720,17.04255965118713,1.0,0.19,1500.0,200.0
1,2872,17.04255965118713,1.0,0.19,1500.0,200.0
1,7760,17.04255965118713,1.0,0.19,1500.0,200.0
1,1392,17.04255965118713,1.0,0.19,1500.0,200.0
1,5192,17.04255965118713,1.0,0.19,1500.0,200.0
1,4072,17.04255965118713,1.0,0.19,1500.0,200.0
1,5032,17.04255965118713,1.0,0.19,1500.0,200.0
1,7960,17.04255965118713,1.0,0.19,1500.0,200.0
1,4792,17.04255965118713,1.0,0.19,1500.0,200.0
1,3152,17.04255965118713,1.0,0.19,1500.0,200.0
1,6592,17.04255965118713,1.0,0.19,1500.0,200.0
1,3712,17.04255965118713,1.0,0.19,1500.0,200.0
1,5520,17.04255965118713,1.0,0.19,1500.0,200.0
1,6800,17.04255965118713,1.0,0.19,1500.0,200.0
1,3272,17.04255965118713,1.0,0.19,1500.0,200.0
1,4704,17.04255965118713,1.0,0.19,1500.0,200.0
1,4832,17.04255965118713,1.0,0.19,1500.0,200.0
1,3960,17.04255965118713,1.0,0.19,1500.0,200.0
1,3312,17.04255965118713,1.0,0.19,1500.0,200.0
1,2672,17.04255965118713,1.0,0.19,1500.0,200.0
1,5832,17.04255965118713,1.0,0.19,1500.0,200.0
1,5152,17.04255965118713,1.0,0.19,1500.0,200.0
1,1472,17.04255965118713,1.0,0.19,1500.0,200.0
1,5352,17.04255965118713,1.0,0.19,1500.0,200.0
1,1712,17.04255965118713,1.0,0.19,1500.0,200.0
1,3792,17.04255965118713,1.0,0.19,1500.0,200.0
1,6752,17.04255965118713,1.0,0.19,1500.0,200.0
1,736,76.69151843034209,1.0,0.19,1500.0,200.0
1,400,76.69151843034209,1.0,0.19,1500.0,200.0
1,4392,17.04255965118713,1.0,0.19,1500.0,200.0
1,2792,17.04255965118713,1.0,0.19,1500.0,200.0
1,7840,17.04255965118713,1.0,0.19,1500.0,200.0
1,6472,17.04255965118713,1.0,0.19,1500.0,200.0
1,2072,17.04255965118713,1.0,0.19,1500.0,200.0
1,5272,17.04255965118713,1.0,0.19,1500.0,200.0
1,1512,17.04255965118713,1.0,0.19,1500.0,200.0
1,4344,17.04255965118713,1.0,0.19,1500.0,200.0
1,2232,17.04255965118713,1.0,0.19,1500.0,200.0
1,1680,17.04255965118713,1.0,0.19,1500.0,200.0
1,4304,17.04255965118713,1.0,0.19,1500.0,200.0
1,7600,17.04255965118713,1.0,0.19,1500.0,200.0
1,1352,17.04255965118713,1.0,0.19,1500.0,200.0
1,2472,17.04255965118713,1.0,0.19,1500.0,200.0
1,3800,17.04255965118713,1.0,0.19,1500.0,200.0
1,2560,17.04255965118713,1.0,0.19,1500.0,200.0
1,4400,17.04255965118713,1.0,0.19,1500.0,200.0
1,3888,17.04255965118713,1.0,0.19,1500.0,200.0
1,4384,17.04255965118713,1.0,0.19,1500.0,200.0
1,384,76.69151843034209,1.0,0.19,1500.0,200.0
1,6400,17.04255965118713,1.0,0.19,1500.0,200.0
1,1624,17.04255965118713,1.0,0.19,1500.0,200.0
1,1784,17.04255965118713,1.0,0.19,1500.0,200.0
1,4224,17.04255965118713,1.0,0.19,1500.0,200.0
1,4944,17.04255965118713,1.0,0.19,1500.0,200.0
