time,source,target,x,u,t_last_spike
190.0,801,2016,1.0,0.19,-1.0
190.0,802,4286,1.0,0.19,-1.0
190.0,803,3288,1.0,0.19,-1.0
190.0,804,170,1.0,0.19,-1.0
190.0,805,3001,1.0,0.19,-1.0
190.0,806,6920,1.0,0.19,-1.0
190.0,807,2543,1.0,0.19,-1.0
190.0,808,901,1.0,0.19,-1.0
190.0,809,5632,1.0,0.19,-1.0
190.0,810,7513,1.0,0.19,-1.0
190.0,811,3792,0.6561,0.3439,167.3
190.0,812,5170,1.0,0.19,-1.0
190.0,813,7707,1.0,0.19,-1.0
190.0,814,1315,1.0,0.19,-1.0
190.0,815,1962,1.0,0.19,-1.0
190.0,816,1855,1.0,0.19,-1.0
190.0,817,3054,1.0,0.19,-1.0
190.0,818,5737,1.0,0.19,-1.0
190.0,819,6886,1.0,0.19,-1.0
190.0,820,3013,1.0,0.19,-1.0
190.0,821,4199,0.6561,0.3439,140.15
190.0,822,4484,1.0,0.19,-1.0
190.0,823,3601,1.0,0.19,-1.0
190.0,824,4504,1.0,0.19,-1.0
190.0,825,2188,1.0,0.19,-1.0
190.0,826,1680,1.0,0.19,-1.0
190.0,827,5357,1.0,0.19,-1.0
190.0,828,7096,1.0,0.19,-1.0
190.0,829,1017,1.0,0.19,-1.0
190.0,830,4238,1.0,0.19,-1.0
190.0,831,5048,1.0,0.19,-1.0
190.0,832,294,1.0,0.19,-1.0
190.0,833,7710,0.6561,0.3439,103.9
190.0,834,4440,1.0,0.19,-1.0
190.0,835,3026,1.0,0.19,-1.0
190.0,836,1792,1.0,0.19,-1.0
190.0,837,1166,0.6561,0.3439,165.3
190.0,838,7528,1.0,0.19,-1.0
190.0,839,7287,1.0,0.19,-1.0
190.0,840,445,1.0,0.19,-1.0
190.0,841,2167,0.6561,0.3439,122.3
190.0,842,2272,1.0,0.19,-1.0
190.0,843,6176,0.6561,0.3439,112.95
190.0,844,4694,1.0,0.19,-1.0
190.0,845,5735,1.0,0.19,-1.0
190.0,846,2807,1.0,0.19,-1.0
190.0,847,2708,1.0,0.19,-1.0
190.0,848,2635,1.0,0.19,-1.0
190.0,849,615,1.0,0.19,-1.0
190.0,850,3352,1.0,0.19,-1.0
190.0,851,295,1.0,0.19,-1.0
190.0,852,696,1.0,0.19,-1.0
190.0,853,6951,1.0,0.19,-1.0
190.0,854,2657,1.0,0.19,-1.0
190.0,855,6963,1.0,0.19,-1.0
190.0,856,2806,1.0,0.19,-1.0
190.0,857,7025,1.0,0.19,-1.0
190.0,858,2393,0.6561,0.3439,153.4
190.0,859,7916,1.0,0.19,-1.0
190.0,860,1408,1.0,0.19,-1.0
190.0,861,7503,1.0,0.19,-1.0
190.0,862,1856,0.6561,0.3439,48.0
190.0,863,4293,1.0,0.19,-1.0
190.0,864,5964,1.0,0.19,-1.0
190.0,865,1248,0.6561,0.3439,45.65
190.0,866,6496,1.0,0.19,-1.0
190.0,867,1069,1.0,0.19,-1.0
190.0,868,3987,0.6561,0.3439,138.20000000000002
190.0,869,4042,1.0,0.19,-1.0
190.0,870,1835,0.6561,0.3439,150.05
190.0,871,5192,1.0,0.19,-1.0
190.0,872,6266,0.6561,0.3439,150.8
190.0,873,1699,1.0,0.19,-1.0
